"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22006-19049","PG","Mike","Mike James","James","22.418750762939453","16","4700","PHO@LAL","PHO","LAL","","","",""
"22006-14511","PF","Markieff","Markieff Morris","Morris","17.25714329310826","7","4700","MIA@WAS","WAS","MIA","","","",""
"22006-14522","PF","Nikola","Nikola Mirotic","Mirotic","22.304286411830358","70","4700","CHA@CHI","CHI","CHA","O","Face","",""
"22006-23798","SG","Caris","Caris LeVert","LeVert","21.514286586216517","14","4700","UTA@BKN","BKN","UTA","","","",""
"22006-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","20.286665852864584","15","4700","MIN@DAL","DAL","MIN","","","",""
"22006-18600","PG","Tyler","Tyler Johnson","Johnson","19.907691368689903","13","4600","MIA@WAS","MIA","WAS","","","",""
"22006-9473","C","Tyson","Tyson Chandler","Chandler","20.7000004695012","13","4600","PHO@LAL","PHO","LAL","O","Illness","",""
"22006-16233","SF","Josh","Josh Richardson","Richardson","21.271427699497767","14","4600","MIA@WAS","MIA","WAS","","","",""
"22006-9636","SF","Wilson","Wilson Chandler","Chandler","18.635713849748885","14","4600","NO@DEN","DEN","NO","","","",""
"22006-23665","SG","Buddy","Buddy Hield","Hield","22.778570992606028","14","4500","POR@SAC","SAC","POR","","","",""
"22006-67707","PF","Marquese","Marquese Chriss","Chriss","19.443750381469727","16","4500","PHO@LAL","PHO","LAL","","","",""
"22006-15996","PG","Jerian","Jerian Grant","Grant","23.28333282470703","12","4500","CHA@CHI","CHI","CHA","","","",""
"22006-14554","SG","E'Twaun","E'Twaun Moore","Moore","21.180000813802085","15","4500","NO@DEN","NO","DEN","","","",""
"22006-23831","PF","Jerami","Jerami Grant","Grant","21.099999564034597","14","4500","OKC@SA","OKC","SA","","","",""
"22006-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","23.34285627092634","14","4500","MIA@WAS","WAS","MIA","","","",""
"22006-12359","SF","Evan","Evan Turner","Turner","21.34285627092634","14","4400","POR@SAC","POR","SAC","","","",""
"22006-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","20.293332926432292","15","4400","DET@IND","IND","DET","","","",""
"22006-15583","SG","Seth","Seth Curry","Curry","22.30142822265625","70","4400","MIN@DAL","DAL","MIN","O","Lower leg","",""
"22006-42733","SF","David","David Nwaba","Nwaba","18.975000381469727","8","4400","CHA@CHI","CHI","CHA","O","Ankle","",""
"22006-9475","PG","Derrick","Derrick Rose","Rose","18.514286586216517","7","4400","LAC@CLE","CLE","LAC","O","Ankle","",""
"22006-9506","SG","JR","JR Smith","Smith","16.826666259765624","15","4400","LAC@CLE","CLE","LAC","","","",""
"22006-14529","PG","Cory","Cory Joseph","Joseph","19.626666259765624","15","4300","DET@IND","IND","DET","","","",""
"22006-9609","C","Al","Al Jefferson","Jefferson","17.289999389648436","10","4300","DET@IND","IND","DET","","","",""
"22006-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","18.14666748046875","15","4300","UTA@BKN","UTA","BKN","","","",""
"22006-9703","PG","George","George Hill","Hill","17.391666412353516","12","4300","POR@SAC","SAC","POR","","","",""
"22006-16448","PF","Frank","Frank Kaminsky","Kaminsky","19.974999745686848","12","4200","CHA@CHI","CHA","CHI","","","",""
"22006-58463","PG","Tyler","Tyler Ulis","Ulis","15.573333740234375","15","4200","PHO@LAL","PHO","LAL","","","",""
"22006-81026","PG","Milos","Milos Teodosic","Teodosic","12.100000381469727","2","4200","LAC@CLE","LAC","CLE","O","Foot","",""
"22006-17542","C","Alan","Alan Williams","Williams","18.52978775349069","47","4200","PHO@LAL","PHO","LAL","O","Knee","",""
"22006-9451","PF","Marvin","Marvin Williams","Williams","18.26923076923077","13","4200","CHA@CHI","CHA","CHI","","","",""
"22006-9455","PG","Rajon","Rajon Rondo","Rondo","12.199999809265137","2","4200","NO@DEN","NO","DEN","","","",""
"22006-80813","PG","Frank","Frank Ntilikina","Ntilikina","18.099999745686848","12","4200","NY@TOR","NY","TOR","","","",""
"22006-58350","SF","Stanley","Stanley Johnson","Johnson","17.545454545454547","11","4200","DET@IND","DET","IND","","","",""
"22006-12511","PG","Ish","Ish Smith","Smith","19.08571515764509","14","4100","DET@IND","DET","IND","","","",""
"22006-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","21.614286150251115","14","4100","POR@SAC","SAC","POR","","","",""
"22006-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","20.021427699497767","14","4000","NO@DEN","DEN","NO","","","",""
"22006-23772","PG","Yogi","Yogi Ferrell","Ferrell","18.619999186197916","15","4000","MIN@DAL","DAL","MIN","","","",""
"22006-40208","PG","Raul","Raul Neto","Neto","6.775000095367432","8","4000","UTA@BKN","UTA","BKN","","","",""
"22006-16178","SF","Maurice","Maurice Harkless","Harkless","17.235714503696986","14","4000","POR@SAC","POR","SAC","","","",""
"22006-9652","PG","Jameer","Jameer Nelson","Nelson","18.26153799203726","13","4000","NO@DEN","NO","DEN","","","",""
"22006-9725","SF","CJ","CJ Miles","Miles","16.2000004695012","13","4000","NY@TOR","TOR","NY","","","",""
"22006-15947","SF","Reggie","Reggie Bullock","Bullock","7.555555555555555","9","3900","DET@IND","DET","IND","","","",""
"22006-67708","PG","Dejounte","Dejounte Murray","Murray","20.293332926432292","15","3900","OKC@SA","SA","OKC","","","",""
"22006-15548","SG","Andre","Andre Roberson","Roberson","13.964285714285714","14","3900","OKC@SA","OKC","SA","","","",""
"22006-15560","PG","Shabazz","Shabazz Napier","Napier","12.889999389648438","10","3900","POR@SAC","POR","SAC","","","",""
"22006-58084","SF","Justise","Justise Winslow","Winslow","17.77142878941127","14","3900","MIA@WAS","MIA","WAS","","","",""
"22006-15800","PF","Jae","Jae Crowder","Crowder","15.286666870117188","15","3900","LAC@CLE","CLE","LAC","","","",""
"22006-17384","C","Kyle","Kyle O'Quinn","O'Quinn","19.778570992606028","14","3900","NY@TOR","NY","TOR","","","",""
"22006-15417","SF","Solomon","Solomon Hill","Hill","17.16125030517578","80","3800","NO@DEN","NO","DEN","O","Hamstring","",""
"22006-12348","SF","Wesley","Wesley Johnson","Johnson","14.6000002347506","13","3800","LAC@CLE","LAC","CLE","","","",""
"22006-41077","PG","Sindarius","Sindarius Thornwell","Thornwell","9.423076923076923","13","3800","LAC@CLE","LAC","CLE","","","",""
"22006-66174","PG","Jawun","Jawun Evans","Evans","8.766666412353516","6","3800","LAC@CLE","LAC","CLE","","","",""
"22006-15520","SG","Sean","Sean Kilpatrick","Kilpatrick","7.971428462437221","7","3800","UTA@BKN","BKN","UTA","","","",""
"22006-42661","PF","Noah","Noah Vonleh","Vonleh","13.728571210588727","7","3800","POR@SAC","POR","SAC","","","",""
"22006-11074","SG","Garrett","Garrett Temple","Temple","16.43076970027043","13","3800","POR@SAC","SAC","POR","","","",""
"22006-9648","PF","Jeff","Jeff Green","Green","18.173333740234376","15","3800","LAC@CLE","CLE","LAC","","","",""
"22006-80816","SG","Malik","Malik Monk","Monk","15.184614915114183","13","3800","CHA@CHI","CHA","CHI","","","",""
"22006-9704","SG","Manu","Manu Ginobili","Ginobili","16.900000254313152","12","3800","OKC@SA","SA","OKC","","","",""
"22006-12337","C","Greg","Greg Monroe","Monroe","18.1999994913737","6","3700","PHO@LAL","PHO","LAL","","","",""
"22006-66109","PF","Skal","Skal Labissiere","Labissiere","17.42142813546317","14","3700","POR@SAC","SAC","POR","","","",""
"22006-12365","PF","Ed","Ed Davis","Davis","18.814285278320312","14","3700","POR@SAC","POR","SAC","","","",""
"22006-12369","SF","Lance","Lance Stephenson","Stephenson","16.426666259765625","15","3700","DET@IND","IND","DET","","","",""
"22006-15691","C","Cody","Cody Zeller","Zeller","20.166666666666668","9","3700","CHA@CHI","CHA","CHI","","","",""
"22006-15744","SF","Rodney","Rodney McGruder","McGruder","14.425640399639423","78","3700","MIA@WAS","MIA","WAS","O","Leg","",""
"22006-16293","SG","Norman","Norman Powell","Powell","16.958333333333332","12","3700","NY@TOR","TOR","NY","O","Hip","",""
"22006-9870","SG","Kyle","Kyle Korver","Korver","16.266666666666666","15","3600","LAC@CLE","CLE","LAC","","","",""
"22006-9920","PF","Anthony","Anthony Tolliver","Tolliver","15.263635808771307","11","3600","DET@IND","DET","IND","","","",""
"22006-16363","SF","Joe","Joe Harris","Harris","16.292307927058292","13","3600","UTA@BKN","BKN","UTA","","","",""
"22006-9713","PG","Jarrett","Jarrett Jack","Jack","16.474999745686848","12","3600","NY@TOR","NY","TOR","","","",""
"22006-22541","PF","Kelly","Kelly Olynyk","Olynyk","19.82857186453683","14","3500","MIA@WAS","MIA","WAS","","","",""
"22006-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","14.221429007393974","14","3500","MIN@DAL","MIN","DAL","","","",""
"22006-15590","C","Mason","Mason Plumlee","Plumlee","16.62142835344587","14","3500","NO@DEN","DEN","NO","","","",""
"22006-20313","PG","Nate","Nate Wolters","Wolters","0","0","3500","UTA@BKN","UTA","BKN","","","",""
"22006-40830","PG","Delon","Delon Wright","Wright","16.52142878941127","14","3500","NY@TOR","TOR","NY","O","Shoulder","",""
"22006-9605","PG","Ramon","Ramon Sessions","Sessions","16","4","3500","NY@TOR","NY","TOR","","","",""
"22006-58247","PG","Isaiah","Isaiah Whitehead","Whitehead","10.550000190734863","4","3500","UTA@BKN","BKN","UTA","","","",""
"22006-9613","SG","Devin","Devin Harris","Harris","15.233334011501736","9","3500","MIN@DAL","DAL","MIN","GTD","Ribs","",""
"22006-15771","PF","Gorgui","Gorgui Dieng","Dieng","15.62727217240767","11","3500","MIN@DAL","MIN","DAL","O","Finger","",""
"22006-16368","PF","Mike","Mike Scott","Scott","14.192307692307692","13","3500","MIA@WAS","WAS","MIA","","","",""
"22006-9731","C","Kosta","Kosta Koufos","Koufos","16.75714329310826","14","3400","POR@SAC","SAC","POR","","","",""
"22006-12339","C","Ekpe","Ekpe Udoh","Udoh","12.073333740234375","15","3400","UTA@BKN","UTA","BKN","","","",""
"22006-15961","C","Tyler","Tyler Zeller","Zeller","15.633333841959635","6","3400","UTA@BKN","BKN","UTA","","","",""
"22006-14501","C","Tristan","Tristan Thompson","Thompson","13.712499618530273","8","3400","LAC@CLE","CLE","LAC","O","Calf","",""
"22006-42667","C","Dakari","Dakari Johnson","Johnson","10.083333333333334","6","3400","OKC@SA","OKC","SA","","","",""
"22006-14515","SG","Iman","Iman Shumpert","Shumpert","13.618182095614346","11","3400","LAC@CLE","CLE","LAC","","","",""
"22006-9940","SF","Dante","Dante Cunningham","Cunningham","13.779999796549479","15","3400","NO@DEN","NO","DEN","","","",""
"22006-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","17.472726995294746","11","3400","POR@SAC","SAC","POR","","","",""
"22006-16196","PF","Dwight","Dwight Powell","Powell","14.342857360839844","14","3400","MIN@DAL","DAL","MIN","","","",""
"22006-9678","C","Channing","Channing Frye","Frye","8.053845919095552","13","3400","LAC@CLE","CLE","LAC","","","",""
"22006-64017","C","Salah","Salah Mejri","Mejri","15.181818181818182","11","3300","MIN@DAL","DAL","MIN","","","",""
"22006-60021","PF","Pascal","Pascal Siakam","Siakam","16.384615384615383","13","3300","NY@TOR","TOR","NY","","","",""
"22006-70819","PF","Dragan","Dragan Bender","Bender","13.300000190734863","16","3300","PHO@LAL","PHO","LAL","","","",""
"22006-24247","PG","Fred","Fred VanVleet","VanVleet","11.492856706891741","14","3300","NY@TOR","TOR","NY","","","",""
"22006-16071","PG","Tim","Tim Frazier","Frazier","13.842857360839844","14","3300","MIA@WAS","WAS","MIA","","","",""
"22006-9458","SF","Tony","Tony Allen","Allen","9.641666412353516","12","3300","NO@DEN","NO","DEN","GTD","Knee","",""
"22006-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","12.833333333333334","3","3300","CHA@CHI","CHA","CHI","","","",""
"22006-9601","C","Andrew","Andrew Bogut","Bogut","9.411110772026909","9","3300","PHO@LAL","LAL","PHO","","","",""
"22006-15762","SF","Darius","Darius Miller","Miller","8.840000406901042","15","3300","NO@DEN","NO","DEN","","","",""
"22006-80809","SF","Josh","Josh Jackson","Jackson","17.950000762939453","16","3300","PHO@LAL","PHO","LAL","","","",""
"22006-9677","PF","Jared","Jared Dudley","Dudley","11.219999694824219","5","3300","PHO@LAL","PHO","LAL","O","Knee","",""
"22006-9702","PG","Tony","Tony Parker","Parker","19.366666279141864","63","3300","OKC@SA","SA","OKC","O","Quadriceps","",""
"22006-58378","C","Jakob","Jakob Poeltl","Poeltl","16.885713849748885","14","3200","NY@TOR","TOR","NY","","","",""
"22006-23097","PG","Tomas","Tomas Satoransky","Satoransky","6","8","3200","MIA@WAS","WAS","MIA","","","",""
"22006-9804","C","Alexis","Alexis Ajinca","Ajinca","13.651282677283653","39","3200","NO@DEN","NO","DEN","O","Knee","",""
"22006-14510","SG","Alec","Alec Burks","Burks","11.814285278320312","14","3200","UTA@BKN","UTA","BKN","","","",""
"22006-9447","SF","Joe","Joe Johnson","Johnson","13.185714721679688","7","3200","UTA@BKN","UTA","BKN","O","Wrist","",""
"22006-9962","PF","Jonas","Jonas Jerebko","Jerebko","8.88000030517578","10","3200","UTA@BKN","UTA","BKN","","","",""
"22006-9479","SF","Luol","Luol Deng","Deng","5.5","1","3200","PHO@LAL","LAL","PHO","","","",""
"22006-23825","C","Nerlens","Nerlens Noel","Noel","14.364286150251116","14","3200","MIN@DAL","DAL","MIN","","","",""
