,Team,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Khris Middleton,MIL,21968-16261,SG,Khris,Middleton,33.38461538,13,7000,DET@MIL,DET,,,228.695383418,0.145978527774,106.0,104.3,1.0162991371,33.9741802493,2.4,18.0,0.08,5.8,4.8,1.15,33.9741802493,206.038819734
Kosta Koufos,SAC,21968-9731,C,Kosta,Koufos,16.98461562,13,3500,SAC@ATL,ATL,,,218.718453321,0.0776551560333,100.5,94.6,1.06236786469,17.9162684989,0.7,4.6,0.69,6.5,1.1,0.54,17.9162684989,195.353178604
Kristaps Porzingis,NY,21968-63122,PF,Kristaps,Porzingis,45.57500203,12,9300,UTA@NY,UTA,,,265.126128738,0.171899322964,104.0,106.0,0.981132075472,44.8669811321,2.3,29.5,2.17,7.3,1.1,0.5,44.8669811321,207.279379297
Kyle Anderson,SA,21968-23716,SF,Kyle,Anderson,24.59999956,14,5200,SA@MIN,MIN,,,248.847850747,0.0988555837881,102.25,102.6,0.996588693957,24.631705653,0.9,8.2,1.0,6.6,2.6,0.86,24.631705653,211.110025154
Kyle Korver,CLE,21968-9870,SG,Kyle,Korver,16.62857165,14,3700,CLE@CHA,CHA,,,203.46681143,0.0817262114304,109.75,109.8,0.999544626594,16.5634517304,0.6,10.9,0.43,2.4,0.4,0.5,16.5634517304,223.383390142
Kyle O'Quinn,NY,21968-17384,C,Kyle,O'Quinn,19.66923053,13,3900,UTA@NY,UTA,,,265.126128738,0.0741882010031,104.0,106.0,0.981132075472,19.2375471698,1.6,6.3,1.15,5.8,2.2,0.38,19.2375471698,202.72854775
LaMarcus Aldridge,SA,21968-9688,PF,LaMarcus,Aldridge,40.96428571,14,8300,SA@MIN,MIN,,,248.847850747,0.164615790681,102.25,102.6,0.996588693957,40.8773976608,1.6,22.5,1.43,8.2,2.4,0.79,40.8773976608,203.046193617
LeBron James,CLE,21968-9488,SF,LeBron,James,52.94999913,14,11300,CLE@CHA,CHA,,,203.46681143,0.260238997986,109.75,109.8,0.999544626594,52.9571493625,4.7,28.1,1.29,7.4,8.8,1.21,52.9571493625,213.380065506
Lonzo Ball,LAL,21968-80806,PG,Lonzo,Ball,32.5214277,14,7300,PHI@LAL,PHI,,,223.376675489,0.145590078413,108.25,103.3,1.04791868345,33.7422652469,2.7,9.5,0.93,6.6,7.2,1.36,33.7422652469,216.345877984
Lucas Nogueira,TOR,21968-40200,C,Lucas,Nogueira,16.68000031,10,3200,TOR@NO,NO,,,225.20393262,0.0740662035336,106.75,110.3,0.967815049864,16.3523572076,0.7,4.6,1.6,3.9,0.6,0.8,16.3523572076,195.690441407
Malcolm Brogdon,MIL,21968-16359,SG,Malcolm,Brogdon,26.55833435,12,5700,DET@MIL,DET,,,228.695383418,0.116129735341,106.0,104.3,1.0162991371,26.9872099712,1.8,15.1,0.17,2.6,4.1,1.17,26.9872099712,211.211162846
Manu Ginobili,SA,21968-9704,SG,Manu,Ginobili,17.29090881,11,4000,SA@MIN,MIN,,,248.847850747,0.0694838583419,102.25,102.6,0.996588693957,17.2392397661,1.4,9.0,0.27,1.9,2.4,1.0,17.2392397661,232.028793281
Marc Gasol,MEM,21968-9581,C,Marc,Gasol,37.83846107,13,7500,IND@MEM,IND,,,202.228179269,0.187107757221,106.75,101.2,1.05484189723,39.6902717391,3.1,18.9,1.62,9.0,3.3,0.46,39.6902717391,188.963180935
Mario Chalmers,MEM,21968-9583,PG,Mario,Chalmers,18.5615387,13,3600,IND@MEM,IND,,,202.228179269,0.0917851249371,106.75,101.2,1.05484189723,19.3913092885,1.7,8.0,0.15,2.6,3.3,1.23,19.3913092885,185.650176913
Marvin Williams,CHA,21968-9451,PF,Marvin,Williams,18.34999975,12,4400,CLE@CHA,CLE,,,263.2601722,0.0697029087106,108.25,103.4,1.04690522244,18.8463926499,0.4,8.7,0.33,4.3,0.8,0.83,18.8463926499,233.466429451
Matt Costello,SA,21968-24543,PF,Matt,Costello,14.0,1,3000,SA@MIN,MIN,,,248.847850747,0.0562592763328,102.25,102.6,0.996588693957,13.9727095517,0.0,2.0,2.0,5.0,0.0,0.0,13.9727095517,214.704241071
Nemanja Bjelica,MIN,21968-12368,SF,Nemanja,Bjelica,13.40769254,13,3000,SA@MIN,SA,,,220.176456758,0.0608952143996,107.25,108.8,0.985753676471,13.2883318015,0.9,7.4,0.15,3.0,0.7,0.62,13.2883318015,225.761972595
Pascal Siakam,TOR,21968-60021,PF,Pascal,Siakam,16.48333359,12,3400,TOR@NO,NO,,,225.20393262,0.0731929207374,106.75,110.3,0.967815049864,16.0655485041,0.6,7.4,0.08,4.1,1.2,0.92,16.0655485041,211.632985898
Pau Gasol,SA,21968-9570,C,Pau,Gasol,29.03571429,14,6200,SA@MIN,MIN,,,248.847850747,0.116680590983,102.25,102.6,0.996588693957,29.0018518519,1.7,10.3,1.36,8.2,3.8,0.29,29.0018518519,213.779452142
Ramon Sessions,NY,21968-9605,PG,Ramon,Sessions,16.0,4,3500,UTA@NY,UTA,,,265.126128738,0.060348635105,104.0,106.0,0.981132075472,15.7349056604,1.8,5.8,0.25,2.5,3.5,1.0,15.7349056604,222.435397806
Reggie Jackson,DET,21968-14523,PG,Reggie,Jackson,30.68461492,13,6300,DET@MIL,MIL,,,250.637561554,0.122426242618,102.0,106.5,0.957746478873,29.4521126761,2.3,16.3,0.0,3.6,6.1,1.08,29.4521126761,213.906556358
Robert Covington,PHI,21968-20491,SF,Robert,Covington,31.52307598,13,6800,PHI@LAL,LAL,,,237.39966871,0.132784835595,111.25,108.0,1.03009259259,32.2390972222,1.6,16.8,0.77,5.7,1.5,1.62,32.2390972222,210.924020394
Rudy Gay,SA,21968-9577,SF,Rudy,Gay,24.60714286,14,5300,SA@MIN,MIN,,,248.847850747,0.0988842892801,102.25,102.6,0.996588693957,24.5274074074,1.6,12.4,0.57,5.4,1.6,1.07,24.5274074074,216.084803093
Serge Ibaka,TOR,21968-9957,PF,Serge,Ibaka,23.15833282,12,5300,TOR@NO,NO,,,225.20393262,0.10283271944,106.75,110.3,0.967815049864,22.5592203083,1.0,12.6,1.08,5.6,0.6,0.25,22.5592203083,234.937197633
Skal Labissiere,SAC,21968-66109,PF,Skal,Labissiere,18.09230746,13,3700,SAC@ATL,ATL,,,218.718453321,0.0827196205226,100.5,94.6,1.06236786469,19.0479704017,1.2,9.3,0.62,4.3,0.6,0.69,19.0479704017,194.246416913
Taj Gibson,MIN,21968-9481,PF,Taj,Gibson,25.17692214,13,4800,SA@MIN,SA,,,220.176456758,0.114348838703,107.25,108.8,0.985753676471,24.8769806985,1.4,10.2,0.62,7.6,1.3,1.15,24.8769806985,192.949460313
Taurean Prince,ATL,21968-23572,SF,Taurean,Prince,26.02857099,14,5700,SAC@ATL,SAC,,,190.554761879,0.136593652834,104.5,102.6,1.01851851852,26.3961111111,2.7,12.9,0.57,5.1,2.3,1.5,26.3961111111,215.940900385
Thaddeus Young,IND,21968-9666,PF,Thaddeus,Young,27.7714277,14,6000,IND@MEM,MEM,,,246.002848607,0.11289067528,102.25,108.0,0.946759259259,26.6548148148,1.1,13.6,0.43,6.0,1.6,1.5,26.6548148148,225.100044464
Tim Hardaway Jr.,NY,21968-15846,SG,Tim,Hardaway Jr.,28.73076923,13,6600,UTA@NY,UTA,,,265.126128738,0.108366419284,104.0,106.0,0.981132075472,28.1411320755,1.7,17.2,0.15,4.2,2.8,1.15,28.1411320755,234.53214257
Tony Snell,MIL,21968-17517,SG,Tony,Snell,17.18461492,13,3500,DET@MIL,DET,,,228.695383418,0.0751419406162,106.0,104.3,1.0162991371,17.3582933845,0.5,8.8,0.15,2.1,2.2,0.85,17.3582933845,201.632725204
Tyler Johnson,MIA,21968-18600,PG,Tyler,Johnson,19.61666616,12,4600,WAS@MIA,WAS,,,257.900836692,0.0760628248113,106.0,101.9,1.04023552502,20.2894013739,1.0,9.9,0.83,2.7,2.0,0.67,20.2894013739,226.719355354
Tyreke Evans,MEM,21968-9692,SG,Tyreke,Evans,30.83076829,13,6800,IND@MEM,IND,,,202.228179269,0.152455352174,106.75,101.2,1.05484189723,32.4020602767,1.7,18.5,0.08,4.9,3.1,1.08,32.4020602767,209.863198264
Victor Oladipo,IND,21968-15684,SG,Victor,Oladipo,36.60714286,14,7400,IND@MEM,MEM,,,246.002848607,0.148807800671,102.25,108.0,0.946759259259,34.7519444444,3.4,23.4,0.64,4.3,3.6,1.36,34.7519444444,212.937725307
Willie Cauley-Stein,SAC,21968-23823,C,Willie,Cauley-Stein,22.34615385,13,4300,SAC@ATL,ATL,,,218.718453321,0.102168580249,100.5,94.6,1.06236786469,23.5344291755,1.2,8.4,1.0,5.8,2.1,0.69,23.5344291755,182.711038706
Zach Randolph,SAC,21968-9579,PF,Zach,Randolph,23.48181707,11,5000,SAC@ATL,ATL,,,218.718453321,0.107360932347,100.5,94.6,1.06236786469,24.8326109937,2.4,12.7,0.18,6.3,1.7,0.82,24.8326109937,201.348138594
